"CITIZEN","ISO3"
"France","FRA"
"USA","USA"
"W Germany","DEU"
"Nepal","NPL"
"New Zealand","NZL"
"Austria","AUT"
"Italy","ITA"
"Australia","AUS"
"Japan","JPN"
"Spain","ESP"
"Canada","CAN"
"Switzerland","CHE"
"Belgium","BEL"
"S Korea","KOR"
"UK","GBR"
"Denmark","DNK"
"Kenya","KEN"
"Czechoslovakia","CZE"
"Yugoslavia","SRB"
"Greece","GRC"
"Iceland","ISL"
"Bulgaria","BGR"
"Ireland","IRL"
"Germany","DEU"
"Sweden","SWE"
"Norway","NOR"
"Mexico","MEX"
"Poland","POL"
"Slovenia","SVN"
"Venezuela","VEN"
"Russia","RUS"
"Netherlands","NLD"
"Czech Republic","CZE"
"Ecuador","ECU"
"Georgia","GEO"
"Portugal","PRT"
"China","CHN"
"Iran","IRN"
"Argentina","ARG"
"USSR","RUS"
"Croatia","HRV"
"Ukraine","UKR"
"Kazakhstan","KAZ"
"India","IND"
"Indonesia","IDN"
"Finland","FIN"
"Malaysia","MYS"
"UK/Hong Kong","GBR"
"Luxembourg","LUX"
"W Germany/Iran","DEU"
"Chile","CHL"
"Spain/USA","ESP"
"Hungary","HUN"
"Brazil","BRA"
"Taiwan","TWN"
"Hong Kong","HKG"
"N Korea","PRK"
"Israel","ISR"
"Austria/Brazil","AUT"
"Germany/Iran","DEU"
"Slovakia","SVK"
"S Africa","ZAF"
"Andorra","AND"
"Latvia","LVA"
"Estonia","EST"
"Singapore","SGP"
"Turkey","TUR"
"Romania","ROU"
"UK/Italy","GBR"
"Liechtenstein","LIE"
"Belarus","BLR"
"Lithuania","LTU"
"USA/Switzerland","USA"
"Thailand","THA"
"UK/USA","GBR"
"New Zealand/Australia","NZL"
"Peru","PER"
"Macedonia","MKD"
"Bolivia","BOL"
"Ireland/UK","IRL"
"Mongolia","MNG"
"Canada/USA","CAN"
"USA/UK","USA"
"Pakistan","PAK"
"Bosnia-Herzegovina","BIH"
"Colombia","COL"
"Costa Rica","CRI"
"Uzbekistan","UZB"
"Nepal/India","NPL"
"Nepal/India?","NPL"
"USA/Poland","USA"
"Guatemala","GTM"
"Switzerland/Greece","CHE"
"Azerbaijan","AZE"
"UK/New Zealand","GBR"
"India?","IND"
"Kuwait","KWT"
"USA/Canada","USA"
"Armenia","ARM"
"Macedonia/Australia","MKD"
"San Marino","SMR"
"Serbia","SRB"
"Bhutan","BTN"
"Switzerland/UK","CHE"
"India/Nepal","IND"
"France/Switzerland","FRA"
"Lebanon","LBN"
"Kyrgyz Republic","KGZ"
"Switzerland/USA","CHE"
"Switzerland/France","CHE"
"Malta","MLT"
"Cyprus","CYP"
"Singapore/Malaysia","SGP"
"Jordan","JOR"
"Panama","PAN"
"Philippines","PHL"
"Germany/S Africa","DEU"
"Canada/Macedonia","CAN"
"Bahrain","BHR"
"Colombia/USA","COL"
"Nepal/Australia","NPL"
"UK/Egypt","GBR"
"UK/Australia","GBR"
"Egypt/UK","EGY"
"Bangladesh","BGD"
"Azerbaijan/Russia","AZE"
"Australia/USA","AUS"
"Bosnia-Herzegovina/USA","BIH"
"Algeria","DZA"
"Oman","OMN"
"Saudi Arabia","SAU"
"France/USA","FRA"
"Poland/Canada","POL"
"Vietnam","VNM"
"Uruguay","URY"
"Montenegro","MNE"
"Australia/New Zealand","AUS"
"USA/Jamaica","USA"
"UK/Canada","GBR"
"Spain/Brazil","ESP"
"Moldova","MDA"
"Germany/USA","DEU"
"USA/Brazil","USA"
"UK/Argentina","GBR"
"Australia/Greece","AUS"
"USA/Austria","USA"
"USA/Israel","USA"
"China/Japan","CHN"
"Canada/UK","CAN"
"Dominican Republic","DOM"
"USA/Dominican Republic","USA"
"Palestine","PSE"
"Japan/China","JPN"
"Mauritius","MUS"
"UK/Bangladesh","GBR"
"UK/S Africa","GBR"
"China/USA","CHN"
"France/Algeria","FRA"
"Sri Lanka","LKA"
"Australia/Ireland","AUS"
"UAE","ARE"
"New Zealand/UK","NZL"
"Turkey/USA","TUR"
"Albania","ALB"
"Tanzania","TZA"
"Saudi Arabia/USA","SAU"
"Canada/Ireland","CAN"
"Romania/USA","ROU"
"Lithuania/USA","LTU"
"Ecuador/Germany","ECU"
"Turkmenistan","TKM"
"Slovakia/USA","SVK"
"Switzerland/Germany","CHE"
"Australia/Sweden","AUS"
"S Africa/UK","ZAF"
"Qatar","QAT"
"USA/Ireland","USA"
"Morocco","MAR"
"Argentina/Canada","ARG"
"Nepal/Canada","NPL"
"Myanmar","MMR"
"Australia/UK","AUS"
"Denmark/Australia","DNK"
"S Africa/Zambia","ZAF"
"USA/Russia","USA"
"USA/China","USA"
"UK/Russia","GBR"
"UK/Nepal","GBR"
"Tunisia","TUN"
"Italy/USA","ITA"
"UK/Kenya","GBR"
"USA/Iran","USA"
"Kosovo","XXK"
"Poland/USA","POL"
"Hungary/Romania","HUN"
"USA/Romania","USA"
"Germany/Switzerland","DEU"
"UK/India","GBR"
"Paraguay/Germany","PRY"
"USA/Colombia","USA"
"Chile/Sweden","CHL"
"UK/Lebanon","GBR"
"Canada/Russia","CAN"
"Spain/Venezuela","ESP"
"Syria","SYR"
"UK/Iceland","GBR"
"Egypt","EGY"
"Botswana","BWA"
"USA/Ethiopia","USA"
"Serbia/Jordan","SRB"
"Netherlands/Switzerland","NLD"
"Italy/Slovenia","ITA"
"USA/Pakistan","USA"
"Mongolia/Australia","MNG"
"USA/Germany","USA"
"UK/Iran","GBR"
"UK/Jordan","GBR"
"Iraq","IRQ"
"S Africa/Portugal","ZAF"
"USA/Lativa","USA"
"S Africa/Ukraine","ZAF"
"USA/New Zealand","USA"
"Tajikistan","TJK"
"Cuba","CUB"
"El Salvador","SLV"
"Canada/Portugal","CAN"
"Russia/USA","RUS"
"UK/Spain","GBR"
"Russia/Ukraine","RUS"
"Libya","LBY"
"USA/Cuba","USA"
"USA/India","USA"
"Honduras","HND"
"Malaysi","MYS"
"USA/Ukraine","USA"
"Germany/UK","DEU"
"USA/UKraine","USA"
"UK/Sri Lanka","GBR"
"UK/Switzerland","GBR"
"Cyprus/Russia","CYP"
"Nepal/USA","NPL"
"Afghanistan/USA","AFG"
"Ukraine/Azerbaijan","UKR"
"USA/Latvia","USA"
"Afghanistan","AFG"
"Norway/Denmark","NOR"
"Kyrgyz Republic/Russia","KGZ"
"USA/Ecuador","USA"
"Australia/S Africa","AUS"
